parameter_key,formal_value,unit,status,source_grade,source_id,source_title,journal_or_institution,year,doi,url,page_or_section,original_value,original_unit,transformation,transformation_formula,cross_validation_source,uncertainty_note,paper_use,cost_boundary,source_conflict_status
literature.wei2015.oil_price_reference,90,USD/STB,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,90,USD/STB,identity,formal_value=original_value,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,"First purchase oil price; deterministic assumption, not current observed oil price.",Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.CO2_purchase_price_reference,50,USD/tCO2,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,50,USD/tCO2,identity,formal_value=original_value,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,Literature reference only; MUST NOT replace endogenous Nash-bargained CO2 price.,Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.CO2_recycling_cost_reference,23.66,USD/tCO2 recycled,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,23.66,USD/tCO2 recycled,identity,formal_value=original_value,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,Paper modeled estimate with assumed 16% recycling-plant O&M/capital relationship; no direct empirical classification established.,Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.discount_rate,0.12,fraction,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,12%,percent,percent / 100,12/100=0.12,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,CO2-EOR literature reference only; all formal agents and modes use the common 8% rate; no discount-rate sensitivity authorized.,REFERENCE_ONLY_CO2_EOR,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.EOR_project_lifetime_reference,12,year,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,12,year,identity,formal_value=original_value,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,Literature setting only; does not change 30-year decision horizon.,Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.new_well_ratio_reference,0.15,fraction,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,15%,percent,percent / 100,15/100=0.15,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,"Ratio of new wells to original wells, not ratio to total post-expansion wells.",Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.CO2_injection_reference,0.5,HCPV,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,0.5,HCPV,identity,formal_value=original_value,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,Injection scenario; not project annual CO2 throughput.,Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
literature.wei2015.CO2_water_ratio_reference,1:1,ratio,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 4; section 2.3.2 for recycling basis,1:1,ratio,identity,formal_value=original_value,Direct publisher browser table; Crossref/OpenAlex bibliographic identity,WAG design assumption; not an audited realized project flow ratio.,Literature reference only; excluded from formal model configuration pending complete source audit,REFERENCE_ONLY,NO_CONFLICT
eor.fluid_pumping_cost,1.0,USD/STB,MODEL_ASSUMPTION,A,S07,Economic evaluation on CO2-EOR of onshore oil fields in China,International Journal of Greenhouse Gas Control,2015,10.1016/j.ijggc.2015.01.014,https://www.sciencedirect.com/science/article/pii/S1750583615000304,Table 1 item 2.5; Section 2.3.2 conflicting prose,1,USD/STB,Table selected by user conflict rule; no averaging,formal_value=Table1_value=1.0,Publisher HTML directly inspected; user conflict decision,"Table 1 reports 1 USD/STB, while Section 2.3.2 reports 0.25 USD/STB for fluid lifting. The table value is used as the formal model input under the project's table-over-prose conflict rule.",Selected EOR fluid-pumping unit input; aggregate per-tCO2 cost requires project fluid throughput; no 0.25 sensitivity,OPEX_ONLY,TABLE_VS_TEXT_TABLE_SELECTED
simulation.economic_discount_rate,0.08,fraction/year,MODEL_ASSUMPTION,A,S15,CCUS in Clean Energy Transitions,International Energy Agency,2020,,https://iea.blob.core.windows.net/assets/181b48b4-323f-454d-96fb-0bb1889d96a9/CCUS_in_clean_energy_transitions.pdf,Printed page 74 / PDF page 75; Figure 2.14 notes,0.08,fraction/year,User scope-consistency decision,identity,Official IEA PDF downloaded; page text and rendered page verified,Formal unified 8% integrated-system benchmark selected by user; not observed Chinese CCUS financing cost. IEA source scope is hydrogen technology cost analysis. No 10%/12% sensitivity.,FORMAL_SOURCE_BACKED_MODEL,REFERENCE_ONLY,NO_CONFLICT
simulation.horizon,30,year,MODEL_ASSUMPTION,A,S15,CCUS in Clean Energy Transitions,International Energy Agency,2020,,https://iea.blob.core.windows.net/assets/181b48b4-323f-454d-96fb-0bb1889d96a9/CCUS_in_clean_energy_transitions.pdf,Printed page 74 / PDF page 75; Figure 2.14 notes,30,year,User scope-consistency decision,identity,Official IEA PDF downloaded; page text and rendered page verified,"User retains 30 years. IEA 30-year system lifetime benchmark is specific to its hydrogen production cost comparison, not a universal CCUS lifetime.",FORMAL_SOURCE_BACKED_MODEL,REFERENCE_ONLY,NO_CONFLICT
literature.yuan2023.discount_rate,0.10,fraction/year,MODEL_ASSUMPTION,A-,S10,燃煤电厂CCUS经济性（本地原文，完整题名见S10）,热力发电,2023,10.19666/j.rlfd.202303034,https://doi.org/10.19666/j.rlfd.202303034,"Printed page 35, economic assumptions",0.10,fraction/year,User scope-consistency decision,identity,,Independent coal-CCUS literature assumption only; not averaged with 8% or 12%.,REFERENCE_ONLY_COAL_CCUS,REFERENCE_ONLY,NO_CONFLICT
co2_quantity.utilization_fraction,0.20,fraction,MODEL_ASSUMPTION,N/A,USER_MODEL_DESIGN,User downstream routing decision,,,,,Sections 1-14,0.20,fraction,identity,xi=0.20,,The selected Qilu–Shengli project establishes the CO2-EOR route but does not empirically identify a 20/80 split between EOR utilization and dedicated geological storage. The 0.20 value is retained solely as a transparent structural model assumption required to preserve both downstream commercial channels.,BASELINE_DOWNSTREAM_ROUTING_SHARE,REFERENCE_ONLY,NO_CONFLICT
literature.sinopec2025.capture_project_total_investment,341.15,million CNY,DERIVED_FROM_EMPIRICAL,A,S13,中国石油化工股份有限公司2025年度报告（债务融资工具）,中国石油化工股份有限公司,2026,,https://www.chinamoney.org.cn/dqs/cm-s-notice-query/fileDownLoad.do?contentId=3303511&mode=save&priority=0,Printed page 16 / PDF page 18; Table 4.3,3.4115,亿元,Unit conversion only; no capacity scaling,3.4115*100,"Issuer PDF downloaded; table visually checked; empirical classification describes documented project disclosure, not audited realized costs.","3.4115*100=341.15 million CNY. Owner project total investment, not automatically equipment CAPEX; 1 Mt/year project title; different from Lu2025 estimate380; financing and working-capital composition not isolated.",REFERENCE_ONLY_PENDING_ASSET_AND_CAPACITY_MAPPING,REFERENCE_ONLY,NO_CONFLICT
literature.qilu_shengli.eor_storage_project_capex,1063,million CNY,EMPIRICAL,A,S13,中国石油化工股份有限公司2025年度报告（债务融资工具）,中国石油化工股份有限公司,2026,,https://www.chinamoney.org.cn/dqs/cm-s-notice-query/fileDownLoad.do?contentId=3303511&mode=save&priority=0,Printed page 16 / PDF page 18; Tables 4.3 and 4.4,10.63,亿元,Unit conversion only; no capacity scaling,10.63*100,"Issuer PDF downloaded; table visually checked; empirical classification describes documented project disclosure, not audited realized costs.",Owner-reported final completed-project total investment; PIPELINE_EXCLUDED under completed user asset-boundary decision. No pipeline subtraction. Integrated platform mapping is a modeling assumption.,FINAL_REPORTED_PROJECT_TOTAL_INVESTMENT,CAPEX_ONLY,NO_CONFLICT
literature.qilu_shengli.reference_capacity,0.70,MtCO2/year,EMPIRICAL,A,S13,中国石油化工股份有限公司2025年度报告（债务融资工具）,中国石油化工股份有限公司,2026,,https://www.chinamoney.org.cn/dqs/cm-s-notice-query/fileDownLoad.do?contentId=3303511&mode=save&priority=0,Printed page 17 / PDF page 19,70,万吨/年,Unit conversion only; no capacity scaling,70/100,"Issuer PDF downloaded; table visually checked; empirical classification describes documented project disclosure, not audited realized costs.","Owner-reported achievable downstream annual storage/handling capability, not independently measured annual operation or an effective-abatement ratio.",REFERENCE_DOWNSTREAM_CAPACITY,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.capex_initial,759.2857142857143,million CNY,MODEL_ASSUMPTION,A,S13,Qilu–Shengli issuer investment and user-approved model mapping,,,,https://www.chinamoney.org.cn/dqs/cm-s-notice-query/fileDownLoad.do?contentId=3303511&mode=save&priority=0,USER_PIPELINE_EXCLUDED_DECISION; USER_U_CAPEX_LINEAR_MAPPING_DECISION,1063,million CNY,I_U = I_ref * (Q_model / Q_ref) = 1063 * (0.50 / 0.70),I_U = I_ref * (Q_model / Q_ref) = 1063 * (0.50 / 0.70),,The reference investment and capacity are project-reported empirical values. Linear rescaling to the model's 0.50 MtCO2/year integrated downstream platform is a transparent modeling assumption.,SOURCE_BACKED_BASELINE_WITH_EXPLICIT_LINEAR_SCALING,CAPEX_ONLY,NO_CONFLICT
co2_quantity.Q_bar,0.50,MtCO2/year,MODEL_ASSUMPTION,N/A,USER_MODEL_DESIGN,User-authorized model design,,,,,USER_PIPELINE_EXCLUDED_DECISION; USER_U_CAPEX_LINEAR_MAPPING_DECISION,,,identity,identity,,Target model capacity explicitly fixed by user; not observed Qilu–Shengli throughput.,MODEL_TOTAL_DOWNSTREAM_CAPACITY,REFERENCE_ONLY,NO_CONFLICT
scenario_domain.capex_U_multiplier,"[0.70,1.30]",multiplier,DESIGN_RANGE_ASSUMPTION,N/A,USER_MODEL_DESIGN,User-authorized model design,,,,,USER_PIPELINE_EXCLUDED_DECISION; USER_U_CAPEX_LINEAR_MAPPING_DECISION,,,identity,identity,,Scenario domain; not empirical confidence interval.,U_CAPEX_SCENARIO_DOMAIN,REFERENCE_ONLY,NO_CONFLICT
literature.qilu_shengli.early_construction_investment,810,million CNY,EMPIRICAL,N/A,USER_SUPPLIED_PRIMARY_SOURCE_AUDIT,User-authorized model design,,,,,USER_PIPELINE_EXCLUDED_DECISION; USER_U_CAPEX_LINEAR_MAPPING_DECISION,,,8.1*100=810,8.1*100=810,,2021 early construction investment8.1亿元 reported in user completed audit; tender original not independently obtained here. Never replaces final10.63亿元.,EARLY_PROJECT_INVESTMENT_ESTIMATE_REFERENCE_ONLY,REFERENCE_ONLY,NO_CONFLICT
transport_market.variable_opex_per_ton,28.1656,CNY/tCO2,DERIVED_FROM_EMPIRICAL,A,S03;S11;USER_QILU_SHENGLI_SECTION_6,Comparative life cycle assessment of CO2 onshore transport in China: Pipeline or tanker truck?,Journal of CO2 Utilization,2025,10.1016/j.jcou.2025.103057,https://doi.org/10.1016/j.jcou.2025.103057,"Sections 2.2, 2.3.1, 3.1; Table 2",0.2584;109,CNY/(tCO2 km);km,User-authorized distance multiplication of published life-cycle transport coefficient,0.2584 * 109 = 28.1656,Publisher full-text HTML independently read; Table 2; post_u_capex/pipeline_browser_sections.txt,"Scenario-derived life-cycle benchmark, not measured operating expense or tariff. Source assumptions: 20 years, 8%, 2022 prices, 250 km, 600000 t/year. Compressor construction and electricity included; no intermediate booster stations. Transfer to 109 km explicitly authorized by user; not an engineering re-estimate. No additional T pipeline CAPEX. C-side compressor overlap remains to be checked against final capture boundary.",Transport resource charge per actual tonne Q; legacy variable_opex_per_ton field name does not imply OPEX_ONLY,LEVELIZED_CAPEX_PLUS_OPEX,NO_CONFLICT
literature.li2022.fresh_co2_total,10.68,MtCO2,MODEL_ASSUMPTION,A,S08,Investment in CO2 capture and storage combined with enhanced oil recovery in China: A case study of China's first megaton-scale project,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://www.sciencedirect.com/science/article/pii/S0959652622033017,Section4.1 and4.2.5,10.68,MtCO2,identity,identity,,"Reference-project predicted/model input, not observed realized project data. Planned captured CO2 delivered to EOR; excludes recycled CO2",REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.li2022.electricity_price,0.085,USD/kWh,MODEL_ASSUMPTION,A,S08,Investment in CO2 capture and storage combined with enhanced oil recovery in China: A case study of China's first megaton-scale project,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://www.sciencedirect.com/science/article/pii/S0959652622033017,Table2,85,USD/MWh,85/1000,85/1000=0.085,,"Reference-project predicted/model input, not observed realized project data. 85 USD/MWh / 1000; 2019 price basis",REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.li2022.injection_electricity,10.2,kWh/t injected CO2,MODEL_ASSUMPTION,A,S08,Investment in CO2 capture and storage combined with enhanced oil recovery in China: A case study of China's first megaton-scale project,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://www.sciencedirect.com/science/article/pii/S0959652622033017,Table4,10.2,kWh/t injected CO2,identity,identity,,"Reference-project predicted/model input, not observed realized project data. Total injected fresh plus recycled",REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.li2022.oil_variable_maintenance,8.2,USD/bbl,MODEL_ASSUMPTION,A,S08,Investment in CO2 capture and storage combined with enhanced oil recovery in China: A case study of China's first megaton-scale project,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://www.sciencedirect.com/science/article/pii/S0959652622033017,Table5,8.2,USD/bbl,identity,identity,,"Reference-project predicted/model input, not observed realized project data. Excludes separately listed electricity",REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.li2022.oil_electricity,22,kWh/bbl,MODEL_ASSUMPTION,A,S08,Investment in CO2 capture and storage combined with enhanced oil recovery in China: A case study of China's first megaton-scale project,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://www.sciencedirect.com/science/article/pii/S0959652622033017,Table5,22,kWh/bbl,identity,identity,,"Reference-project predicted/model input, not observed realized project data. Oil barrel denominator",REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.li2022.recycling_electricity,38,kWh/t recycled CO2,MODEL_ASSUMPTION,A,S08,Investment in CO2 capture and storage combined with enhanced oil recovery in China: A case study of China's first megaton-scale project,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://www.sciencedirect.com/science/article/pii/S0959652622033017,Table6,38,kWh/t recycled CO2,identity,identity,,"Reference-project predicted/model input, not observed realized project data. Recycled mass not a fresh-flow denominator",REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.li2022.digitized_oil_total_bbl,20816245.00665779,bbl,MODEL_ASSUMPTION,A,S08,Li et al. 2022 Fig.5,Journal of Cleaner Production,2022,10.1016/j.jclepro.2022.133724,https://ars.els-cdn.com/content/image/1-s2.0-S0959652622033017-gr5_lrg.jpg,Fig.5 right axis,,,DIGITIZED_FROM_PUBLISHED_FIGURE,sum(3000*(800-pixel_y)/(800-49))*1000,,Approximate value digitized from Fig. 5 of Li et al. (2022); the authors did not publish the underlying annual numerical dataset. The digitized value is not represented as an exact author-supplied observation.,REFERENCE_ONLY_NOT_USED_IN_FORMAL_EOR_OPEX,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.eor_co2_oil_ratio,4.0,tCO2/t-oil,MODEL_ASSUMPTION,,USER_MODEL_DESIGN,User fixed EOR conversion decision,,,,,USER_EOR_FIXED_RATIO_DECISION sections1-8,4.0,t fresh CO2/t incremental oil,Q_oil=q_u/4; P_o=P_oil_CNY_per_t_oil/4,Q_oil=q_u/4; P_o=P_oil_CNY_per_t_oil/4,,A fixed ratio of 4 tCO2 injected per tonne of incremental oil is assumed for the formal EOR revenue mapping. It is a structural model assumption rather than an observed Qilu–Shengli project ratio.,FORMAL_EOR_REVENUE_CONVERSION,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.eor_recycle_ratio,1.0,t recycled CO2/t fresh CO2,MODEL_ASSUMPTION,A,USER_MODEL_DESIGN;MIT2003;ABUOV2022,User fixed recycle ratio with literature benchmarks,,,,,User decision; MIT PDF41 printed37 section3.4.4; Abuov2022 Results,1.0,t recycled CO2/t fresh CO2,R=rho*F; rho=1; I=F+R,R=rho*F; rho=1; I=F+R,,"A lifecycle-average recycle ratio of 1.0 is imposed for the stationary economic model. Literature benchmarks are close to unity, while actual recycle rates vary over the life of an EOR project.",TECHNICAL_WORKLOAD_REFERENCE_ONLY_NOT_FORMAL_OPEX,REFERENCE_ONLY,NO_CONFLICT
literature.mit2003.recycle_ratio,1.1,recycled/net purchased CO2,MODEL_ASSUMPTION,A,MIT2003,The Economics of CO2 Storage,,,,,PDF41/printed37 section3.4.4,1.1,recycled/net purchased CO2,identity,identity,,"Concept-design average, not Qilu observation; corroborated with field example in source",LITERATURE_REFERENCE_ONLY,REFERENCE_ONLY,NO_CONFLICT
literature.abuov2022.recycle_to_fresh_ratio,0.9811557788944724,recycled/net CO2,MODEL_ASSUMPTION,A,ABUOV2022,Techno-Economic Assessment and Life Cycle Assessment of CO2-EOR,,,,,DOI10.1021/acs.est.1c06834; Results,0.9811557788944724,recycled/net CO2,7.81/7.96,7.81/7.96,,Modelled lifecycle benchmark; 25-year source setting does not replace model30years,LITERATURE_REFERENCE_ONLY,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.co2_handling_electricity_cost_usd_component,4.964,2019 USD/t fresh CO2,MODEL_ASSUMPTION,A,S08;USER_MODEL_DESIGN,Li electricity factors and approved recycle mapping,,,,,Li Tables2/4/6,4.964,2019 USD/t fresh CO2,(10.2*(1+1)+38*1)*0.085,(10.2*(1+1)+38*1)*0.085,,Partial CO2 injection and recycle electricity only. Not full EOR OPEX.,REFERENCE_COMPONENT_CHECK_ONLY,REFERENCE_ONLY,NO_CONFLICT
utilization_storage.utilization_cost_per_ton,103.461,CNY/t fresh CO2,MODEL_ASSUMPTION,A-,GUO2020;NBS2020;USER_DECISION014,Integrated operation for the planning of CO2 capture path in CCS-EOR project,Journal of Petroleum Science and Engineering,2020,10.1016/j.petrol.2019.106720,https://www.sciencedirect.com/science/article/pii/S0920410519311404,Publisher HTML Table1; section2.2 equations2.7-2.9; footnote7; independently verified 2026-09-21,15,USD/tCO2,User-authorized complete reduced-form EOR O&M benchmark; EOR fixed component zero,15*6.8974=103.461; no additional recycling/fixed EOR fees,https://www.stats.gov.cn/english/PressRelease/202102/t20210228_1814177.html,"Literature-anchored assumption, not observed Qilu cost. Source has a separate constant F in eq2.7, removed for operational optimization; present model fixed EOR=0 is explicit user simplification, not proof F is included in h.",FORMAL_EOR_REDUCED_FORM_OPEX_BENCHMARK,OPEX_ONLY,USER_DECISION_SUPERSEDES_COMPONENT_MAPPING
utilization_storage.eor_specific_fixed_opex_component,0.0,million CNY/year,MODEL_ASSUMPTION,,USER_DECISION014,User reduced-form EOR OPEX decision,,,,,"User decision sections5,11; Guo eq2.7 contains separate F",0,million CNY/year,Explicit user simplification; not inferred from Guo fixed-cost elimination,EOR-specific fixed component=0,https://www.stats.gov.cn/english/PressRelease/202102/t20210228_1814177.html,Guo includes separate F; omission in this investment-entry model is a transparent user-approved assumption.,FORMAL_EOR_FIXED_COMPONENT_ZERO,OPEX_ONLY,USER_DECISION_SUPERSEDES_COMPONENT_MAPPING
carbon_source.variable_opex_per_ton,240,CNY/tCO2,MODEL_ASSUMPTION,A,S02,Several key issues for CCUS development in China targeting carbon neutrality,Carbon Neutrality,2022,10.1007/s43979-022-00019-3,https://link.springer.com/article/10.1007/s43979-022-00019-3,Section3.2.4,240,CNY/tCO2,identity,identity,,"Expected operating cost of then-under-construction Taizhou500kt/year; representative scalar benchmark, not observed realized OPEX. Do not add208 total cost or engineering components.",FORMAL_SCALAR_BENCHMARK,OPEX_ONLY,NO_CONFLICT
carbon_market.effective_abatement_fraction,0.7,fraction,DERIVED_FROM_EMPIRICAL,A,DONG2025_LCA,LCA-based cost-benefit assessment and carbon footprint accounting of CCUS technologies in China,Journal of Cleaner Production,2025,10.1016/j.jclepro.2024.144557,https://www.sciencedirect.com/science/article/pii/S095965262404006X,Publisher highlights/abstract; protocol section10,0.3,fraction of rated capture offset by derived emissions,1-0.30=0.70,1-0.30=0.70,,"China-specific LCA representative reduced-form net-abatement proxy; not a statutory ETS crediting ratio, not measured Qilu efficiency. Publisher highlighted approximate30% is used under explicit protocol rule.",FORMAL_SCALAR_BENCHMARK,REFERENCE_ONLY,NO_CONFLICT
carbon_source.capex_initial,385,million CNY,EMPIRICAL,A,S_NETL_TAO2023,Perspectives on China CCUS Developments and Plans,Zhejiang University; FECM/NETL Carbon Management Research Project Review Meeting,2023,,https://netl.doe.gov/sites/default/files/netl-file/23CM_GP_Tao.pdf,"PDF page9, right-hand Taizhou500000t/year panel",385,million CNY,identity; matching0.50Mt/year capacity,385 million CNY,Taizhou government2025-12-07 report archived in eor_reduced_form,Reported project investment used as representative capture CAPEX; no capacity scaling. Separate total-cost figure is not added to OPEX.,FORMAL_CAPTURE_CAPEX_BENCHMARK,CAPEX_ONLY,NO_CONFLICT
